t,ax_B,ay_B,az_B,wx_B,wy_B,wz_B
4.13015,0.991537,0.0918206,9.58768,0.0265527,-0.0129852,0.157504
4.24018,0.939157,0.599115,9.23732,0.0401055,-0.022955,0.16703
4.34036,0.776108,1.38027,9.72652,0.0159559,-0.0407657,0.167157
4.44017,0.754218,1.07933,10.5256,-0.0407867,-0.0267972,0.173743
4.55017,0.571887,0.431397,10.1595,-0.0367147,6.6661e-07,0.184737
4.6502,0.38729,0.437924,10.0259,0.00295309,0.00919432,0.188536
4.75019,0.147828,0.801891,9.63769,0.016098,0.011517,0.191948
4.86028,0.0269066,0.931991,9.87478,0.0120598,0.0025715,0.189627
4.9602,-0.0422927,1.00452,9.92344,-0.00804501,0.00803708,0.185682
5.06028,-0.138579,0.784706,9.75019,-0.0119629,0.0111845,0.181639
5.17031,-0.104362,0.744908,9.6127,-0.0182117,0.007351,0.178325
5.2702,-0.282704,0.789912,9.83699,-0.00896028,0.00428758,0.171081
5.37026,-0.289382,0.787569,9.86292,-0.00695542,-0.00243878,0.164838
5.48029,-0.187608,0.651459,9.83822,-0.0127585,0.00162016,0.157142
5.58028,-0.269986,0.6428,9.78244,-0.0130777,0.00838476,0.146864
5.68032,-0.34788,0.533552,9.76154,-0.00854369,0.00434076,0.14046
5.7903,-0.287924,0.588288,9.76942,-0.00631354,0.00124888,0.131342
5.89027,-0.265009,0.536069,9.89608,-0.00183089,0.00773461,0.12003
5.99021,-0.28721,0.520538,9.84644,-0.00661807,0.0109527,0.107512
6.0903,-0.32756,0.363991,9.68519,-0.00625761,0.00626671,0.0943098
6.20048,-0.278061,0.371667,9.71654,-0.00633751,-0.00263873,0.0786757
6.30032,-0.272047,0.258046,9.91964,-0.00510983,0.0012041,0.0630272
6.40038,-0.282425,0.1783,9.79792,-0.00102681,0.00676532,0.0478364
6.51044,-0.274073,0.0784614,9.76206,0.0030685,0.00144108,0.0295252
6.61035,-0.270358,0.0939483,9.73918,0.00277917,-0.00559195,0.012249
6.71044,-0.210605,0.0254756,9.86749,-0.00135482,-0.00964891,-0.00491497
6.82038,-0.025165,-0.129052,9.86723,0.0024705,-0.014354,-0.0230186
6.92038,0.455988,-0.181364,9.61274,0.000529742,-0.0290544,-0.0411892
7.02034,0.57686,-0.137075,9.80119,0.00390474,-0.0270647,-0.0614077
7.13036,0.348231,-0.320819,10.011,0.000675714,-0.00432929,-0.0781864
7.23034,0.202933,-0.22118,9.86305,-0.00762143,0.0169862,-0.0931108
7.34042,0.0179798,-0.298463,9.99357,-0.0177674,0.0226635,-0.113033
7.44039,-0.164229,-0.560438,10.1027,-0.0195388,0.0178474,-0.133669
7.54038,-0.203142,-0.754256,9.71483,-0.00875697,0.0135324,-0.148363
7.65035,-0.153977,-0.577514,9.54009,-0.00477791,-0.0012362,-0.160597
7.75037,-0.120678,-0.585424,9.6065,-0.00569311,-0.0130776,-0.178743
7.85043,-0.217495,-0.59701,9.67768,-0.0183378,-0.0119852,-0.196083
7.96037,-0.217545,-0.810132,9.81295,-0.0316697,-0.010245,-0.205974
8.06037,-0.24481,-1.11041,9.91585,-0.0182115,-0.0124805,-0.207462
8.16042,-0.189652,-0.985334,9.89771,0.00880924,-0.0116804,-0.212212
8.27036,0.130312,-0.593097,9.94094,0.00370912,-0.00984426,-0.221733
8.37043,0.289576,-0.873185,9.75805,-0.00507356,-0.0140964,-0.230901
8.47039,0.428414,-1.0437,9.86515,0.00151694,-0.0137241,-0.236274
8.5804,0.404856,-1.14251,9.84056,0.0208175,-0.00117213,-0.243836
8.68044,0.355092,-1.00287,9.83399,0.02656,0.0033621,-0.247167
8.78043,0.363378,-0.814686,9.8283,0.0166008,0.00788252,-0.250058
8.89045,0.33746,-0.859155,9.82192,-0.00483863,0.00430341,-0.250627
8.99041,0.351415,-0.958981,9.81715,-0.0211062,0.00166012,-0.249495
9.09046,0.35131,-1.25674,9.85082,-0.0146761,0.00733303,-0.249444
9.20045,0.388158,-1.35338,9.69289,0.0176872,0.00415697,-0.244012
9.30044,0.487845,-0.852788,9.63106,0.0210849,0.002253,-0.241224
9.40048,0.521074,-0.716849,9.68813,-0.00575976,0.00174768,-0.244624
9.51051,0.543823,-1.13567,9.96692,-0.0194916,0.00259574,-0.241726
9.61044,0.566725,-1.12874,10.0964,-0.00877509,0.0123351,-0.235759
9.71044,0.541369,-0.851922,9.76293,-0.0155996,0.0199541,-0.237045
9.82053,0.504124,-1.00429,9.59504,-0.0324775,0.00981662,-0.237451
9.9205,0.557123,-1.11846,9.64677,-0.0326095,0.00310599,-0.242227
10.0205,0.610122,-1.23262,9.6985,-0.0327415,-0.00360464,-0.247003
10.1205,0.601159,-1.27871,9.86251,-0.00606973,0.000513945,-0.248123
10.2305,0.751298,-1.0845,9.79946,-0.011487,0.00468657,-0.248017
10.3307,0.768906,-1.17417,9.92566,-0.0106225,0.0139056,-0.25193
10.4405,0.788177,-1.22382,9.98978,-0.0221238,0.0173519,-0.245573
10.5405,0.80384,-1.20882,9.63158,-0.0214036,0.0179775,-0.237706
10.6405,0.749298,-1.39063,9.60271,-0.0143163,0.00986249,-0.234451
10.7505,0.803064,-1.14554,9.64715,-0.0142595,-0.00494185,-0.233676
10.8507,0.85459,-1.21767,9.79767,-0.00722408,-0.00853795,-0.237684
10.9505,0.853546,-1.24183,9.83946,-0.00930711,-0.00466361,-0.238001
11.0605,0.787291,-1.3254,9.75554,-0.00969662,-0.00636943,-0.229053
11.1605,0.828012,-1.28628,9.96719,-0.00926776,-0.00616876,-0.220438
11.2605,0.72995,-1.13674,9.96275,-0.00614583,0.00376122,-0.217369
11.3606,0.587021,-1.19981,9.86607,-0.00673649,0.0117596,-0.217806
11.4706,0.298267,-1.2585,9.78951,-0.00491839,0.0120533,-0.213893
11.5705,0.105138,-1.19512,9.80821,0.00121117,0.0104104,-0.209054
11.6805,-0.0224892,-1.22832,9.80066,0.00283353,0.00521853,-0.2
11.7805,-0.0376275,-1.1871,9.72064,0.00128411,-0.0016128,-0.18856
11.8806,-0.0585584,-1.06517,9.73409,0.00440021,-0.00713607,-0.179098
11.9805,-0.0914681,-0.909092,9.79188,-0.0048639,-0.0126857,-0.178072
12.0906,-0.087329,-1.08293,9.86203,-0.00955862,-0.0135126,-0.179741
12.1906,-0.0816296,-1.12466,10.0531,0.00269509,-0.0107284,-0.178263
12.2905,-0.0486269,-1.04545,9.82625,0.00862271,-0.00542938,-0.177908
12.4006,-0.0306571,-0.870694,9.76733,0.00150734,-0.00222422,-0.179378
12.5006,0.0249119,-0.953624,9.88744,-0.00766788,-0.000376875,-0.178489
12.6006,0.0122054,-1.13097,9.89187,-0.00312223,0.00150423,-0.178052
12.7106,0.00274779,-1.2507,9.87453,0.0209943,0.00144422,-0.178559
12.8107,0.0116112,-1.17598,9.83201,0.0356696,0.00253249,-0.1782
12.9108,0.0657727,-1.09565,9.67768,0.0480107,0.00699908,-0.176191
13.0206,0.196141,-0.936921,9.78488,0.0516917,0.00662324,-0.166082
13.1206,0.142735,-1.02758,9.88627,0.0565672,0.00502901,-0.150838
13.2206,0.16018,-0.978651,9.7191,0.0638969,0.00724405,-0.114424
13.3308,0.201685,-0.458811,9.68424,0.0665684,-0.00574917,-0.0786505
13.4306,0.216345,-0.268209,9.6683,0.0562585,-0.00811748,-0.0550018
13.5306,0.241454,-0.257846,9.73264,0.0555905,-0.0135623,-0.0305393
13.6306,0.310269,-0.029142,9.91951,0.0505487,-0.0122957,-0.00251196
13.7406,0.360124,0.293001,9.94825,0.0378138,-0.000535368,0.0242125
13.8408,0.320021,0.435787,9.84326,0.0126995,0.0219656,0.0541351
13.9406,0.337407,0.294305,9.84075,0.0111394,0.0350793,0.0792803
14.0506,0.278636,0.313668,9.93578,0.0276644,0.036795,0.100053
14.1506,0.22756,0.45652,9.79497,0.0415977,0.0339894,0.122759
14.2507,0.240883,1.44552,8.9786,-0.0114291,0.0125579,0.137778
14.3607,0.270183,0.827376,9.44343,-0.0169841,-0.00658678,0.137571
14.4607,0.359496,0.496677,9.99143,-0.0177406,-0.0160137,0.14587
14.5607,0.341317,0.756724,9.78705,0.0128855,-0.0148898,0.147915
14.6706,0.340703,1.1409,9.70112,-0.0133924,-0.0157858,0.141038
14.7706,0.326385,0.890299,9.85769,-0.0188259,-0.0134838,0.140395
14.8707,0.392432,0.799085,10.0823,-0.0249762,-0.00635717,0.142157
14.9707,0.392803,0.861415,9.96368,-0.0165702,0.00681455,0.134175
15.0807,0.372532,0.773171,9.76076,-0.00935023,0.0164804,0.128604
15.1807,0.391589,0.893594,9.73839,-0.0186702,0.023786,0.128305
15.2907,0.308522,0.728691,9.7018,-0.0122821,0.0173846,0.117347
15.3907,0.247846,0.639446,9.64272,-0.0103758,-0.00591679,0.10991
15.4907,0.260781,0.73881,9.53503,-0.00654815,-0.0222184,0.103443
15.5907,0.199518,0.772659,9.65499,-0.0126162,-0.0361418,0.0925001
15.7007,0.138916,0.392473,10.1996,-0.00225313,-0.0342714,0.0808979
15.8007,0.0990592,0.407983,10.3418,0.00846126,-0.0101075,0.0721393
