t,ax_B,ay_B,az_B,wx_B,wy_B,wz_B
5.79052,-1.34317,0.109743,9.79258,-0.00194041,-0.0191364,0.0545125
5.9003,-1.40542,0.261564,9.89245,-0.00320543,-0.0183148,0.0556888
6.00027,-1.35364,0.212785,9.86379,-0.00425106,-0.0188775,0.0616925
6.10027,-1.25565,0.282227,9.91391,-0.012055,-0.0175031,0.0771096
6.20027,-1.24433,0.149901,9.95008,0.00360044,-0.0123668,0.0861192
6.31043,-1.13296,0.21933,9.82542,0.0121585,-0.00928163,0.0996639
6.41039,-0.975541,0.444741,9.88312,0.00911139,-0.00314144,0.102127
6.51033,-0.928229,0.441218,9.78179,-0.000475556,0.00518265,0.100049
6.62029,-1.04806,0.279573,9.81688,-0.00256112,0.00945369,0.0942225
6.72028,-1.29434,0.263984,9.84647,-0.0005675,0.0063781,0.0919738
6.82036,-1.49415,0.296177,9.80637,-0.000984098,0.00315616,0.0868654
6.9303,-1.56396,0.2903,9.73425,-0.00938666,0.00319958,0.0827999
7.03032,-1.56933,0.15921,9.75598,-0.00745034,0.00371279,0.0816486
7.13034,-1.53274,0.119757,9.7893,-0.0100669,0.00734507,0.0856253
7.24033,-0.926919,0.09344,9.70335,0.00467986,0.00398958,0.0880042
7.34043,-0.812772,0.234338,9.72363,-0.000970128,-0.00175908,0.0885464
7.44031,-0.903273,0.181972,9.78328,0.00499731,-0.0179515,0.0802726
7.55035,-0.841832,0.105737,9.76826,0.000903917,-0.0258212,0.0791094
7.65033,-0.832871,0.321249,9.65579,0.0010988,-0.0207742,0.0762587
7.7504,-0.953166,0.0785761,9.94882,-0.00624713,-0.00905945,0.0755466
7.86042,-1.03712,0.140128,9.89806,-0.00501059,0.00368839,0.0775784
7.96042,-1.12458,0.196044,9.83548,-0.00512414,0.00648233,0.0751387
8.0604,-1.17634,0.0977315,9.75072,-0.00717324,0.00565602,0.0727908
8.1704,-0.708129,0.120105,9.65109,-0.013852,0.00894611,0.0740659
8.27042,-0.340925,0.0958605,9.807,-0.0188722,0.00767761,0.0796428
8.38057,-0.175153,0.0260268,9.8816,-0.0102801,0.00746463,0.0803012
8.48047,-0.198966,-0.0715755,9.83454,0.00190145,0.00775945,0.083212
8.5804,-0.206711,0.0205776,9.79759,0.0119077,0.00411682,0.0926179
8.69043,-0.0121844,0.244053,9.74246,0.0092465,0.00589822,0.0969278
8.79066,0.141388,0.247037,9.58975,-0.0017942,0.000850477,0.0983827
8.89049,0.443241,0.0160467,9.65029,-0.00919822,-0.0184383,0.118115
9.00043,0.921162,0.105889,9.83759,-0.00383385,-0.0343426,0.140442
9.10045,1.16452,0.224646,10.0059,0.00114412,-0.033907,0.157777
9.20045,1.23407,0.269415,10.1108,-0.000347212,-0.0161772,0.184245
9.30062,1.2741,0.217447,10.2571,-0.00421597,0.0140458,0.218129
9.41048,1.29474,0.276459,9.92143,0.00582856,0.0292309,0.247298
9.51049,1.24917,0.538942,9.57416,0.0193195,0.0260613,0.275286
9.61049,1.14377,0.606614,9.63983,0.010133,0.0165434,0.309861
9.72046,1.18466,0.719104,9.80698,0.00824283,0.0227071,0.351836
9.82052,1.17119,0.899112,9.45699,0.00600611,0.0295439,0.370909
9.92043,1.01302,0.951741,9.58372,-0.0121164,0.0244953,0.400042
10.0304,0.958911,1.00478,9.60798,-0.0134349,0.00860327,0.431271
10.1304,0.989127,1.11104,10.1196,-0.0106718,0.0102529,0.451552
10.2305,0.860506,1.39354,10.1795,-0.0204578,0.0326527,0.458981
10.3306,0.844702,1.18599,9.57843,-0.0158737,0.039042,0.472293
10.4404,0.852782,1.27717,9.83118,-0.000730824,0.0457902,0.489728
10.5405,0.978195,1.10501,9.85815,0.0238648,0.0718543,0.499204
10.6405,0.663242,1.27629,9.56766,0.0565936,0.0464128,0.493718
10.7504,0.883617,1.59927,9.19024,0.0578621,-0.0172205,0.49948
10.8505,1.18177,1.9233,9.38381,0.0394745,-0.0420941,0.506409
10.9505,1.30693,1.8875,10.1142,-0.00584718,-0.0183729,0.509002
11.0605,1.29661,1.90946,9.69515,-0.034778,0.0158716,0.514134
11.1605,1.30437,1.4895,9.06132,-0.0140359,0.00293781,0.5135
11.2705,1.17261,1.91855,9.78131,-0.0252838,-0.0295501,0.510775
11.3706,1.5731,1.3343,11.1061,0.0278116,0.0073741,0.510919
11.4705,1.54569,1.62834,9.75511,0.0633811,0.0317453,0.49212
11.5705,1.13706,2.06758,9.43078,0.100704,0.00160978,0.47912
11.6805,1.34089,2.76249,9.735,0.0256961,0.00246528,0.475852
11.7807,1.34059,2.42753,9.50667,-0.0149177,-0.000220056,0.459535
11.8805,1.31348,1.80297,9.66166,-0.0573711,0.00133578,0.440112
11.9905,1.49148,1.34514,9.85042,0.0182544,-0.012994,0.397973
12.0905,1.4546,1.68246,10.0405,0.033523,-0.0237969,0.359664
12.1905,1.39757,1.98734,9.85978,0.0241202,-0.0218809,0.317292
12.3007,1.34055,1.74336,9.82126,-0.025106,-0.0259027,0.281097
12.4006,1.34296,1.20513,9.30442,-0.0388955,-0.0169358,0.257796
12.5006,1.34484,0.895145,10.2996,-0.000599641,-0.00374863,0.238231
12.6106,1.40855,1.09638,10.4575,0.0280026,0.0270501,0.210661
12.7106,1.25369,0.878731,9.85396,0.063325,0.0376905,0.175001
12.8108,1.20496,1.17659,9.05537,0.0477687,0.0164058,0.155218
