t,x,y,z,vx,vy,vz,roll,pitch,yaw
6.20027,-22.1174,-17.226,1.51973,-2.85933,-2.24575,0.275346,-0.0177278,0.00487612,-2.63891
6.31043,-22.4657,-17.4788,1.55478,-2.75742,-2.22375,0.280587,-0.0140209,0.00574615,-2.64564
6.41039,-22.777,-17.6732,1.59704,-2.68447,-2.1923,0.296541,-0.00873444,0.00650276,-2.63545
6.51033,-23.0655,-17.8972,1.62725,-2.59669,-2.1957,0.294144,-0.00835788,0.00827914,-2.62996
6.62029,-23.3572,-18.1365,1.65964,-2.49367,-2.1755,0.29511,-0.00833832,0.0105916,-2.6194
6.72028,-23.5361,-18.2963,1.69562,-2.3563,-2.12419,0.300939,-0.00793505,0.0128491,-2.61649
6.82036,-23.7615,-18.5049,1.72064,-2.21188,-2.0894,0.297425,-0.00832505,0.0110078,-2.61055
6.9303,-23.9928,-18.7269,1.75879,-2.05588,-2.03877,0.294546,-0.0062407,0.00843162,-2.60596
7.03032,-24.1755,-18.9206,1.78687,-1.90979,-1.98748,0.288788,-0.00797652,0.0110829,-2.60058
7.13034,-24.3404,-19.1031,1.81456,-1.76802,-1.93148,0.285982,-0.00936422,0.0109557,-2.5948
7.24033,-24.5481,-19.3192,1.84479,-1.69537,-1.90059,0.275442,-0.00656104,0.0138884,-2.58931
7.34043,-24.4104,-19.3702,1.8739,-1.51315,-1.88742,0.260443,-0.00933168,0.0151351,-2.59901
7.44031,-24.528,-19.5456,1.90511,-1.42898,-1.86902,0.261072,-0.00790948,0.0140548,-2.59261
7.55035,-24.681,-19.75,1.93363,-1.3525,-1.8452,0.257194,-0.00718756,0.0116764,-2.58471
7.65033,-24.8301,-19.9301,1.95925,-1.28012,-1.83049,0.242667,-0.0052576,0.00925492,-2.58385
7.7504,-24.9693,-20.1157,1.98424,-1.21093,-1.79529,0.257543,-0.0041589,0.0101229,-2.57981
7.86042,-25.3387,-20.1894,1.97775,-1.25035,-1.61893,0.237479,0.00314925,0.0125408,-2.55981
7.96042,-25.7184,-20.4478,1.95635,-1.23339,-1.57451,0.217838,0.00406957,0.0126419,-2.55104
8.0604,-25.8373,-20.6025,1.97783,-1.14444,-1.52077,0.211837,0.00420279,0.0135191,-2.54444
8.1704,-25.9606,-20.7686,2.00012,-1.08897,-1.49291,0.193685,0.0037097,0.0148713,-2.53731
8.27042,-26.0703,-20.9183,2.01949,-1.07219,-1.48729,0.192332,0.00309242,0.0161959,-2.53157
8.38057,-26.1884,-21.0815,2.04039,-1.07191,-1.48839,0.198178,0.00228304,0.0177023,-2.52745
8.48047,-26.7017,-21.3104,2.04116,-1.19971,-1.49253,0.186991,-0.00739118,0.0225814,-2.52717
8.5804,-26.8227,-21.4591,2.05921,-1.20116,-1.49825,0.183643,-0.00483852,0.0238336,-2.51913
8.69043,-26.9517,-21.6188,2.07815,-1.20708,-1.53182,0.173127,-0.00239684,0.0247492,-2.51184
8.79066,-27.3537,-21.6446,2.02396,-1.34363,-1.41495,0.0999932,0.011779,0.0181115,-2.49498
8.89049,-27.378,-21.6654,2.01826,-1.37134,-1.41825,0.068456,0.00942387,0.0156746,-2.48422
9.00043,-27.3122,-21.5742,1.99643,-1.44422,-1.456,0.0445318,0.00627466,0.0118542,-2.46918
9.10045,-27.5148,-21.7738,1.99513,-1.48085,-1.52877,0.0541731,0.00269053,0.00972939,-2.45972
9.20045,-27.6291,-21.8657,1.99975,-1.56961,-1.61959,0.0771149,0.00144859,0.00787892,-2.44359
9.30062,-27.7729,-22.0146,2.00999,-1.65706,-1.71852,0.117192,0.001249,0.00864369,-2.42221
9.41048,-27.9577,-22.2072,2.02323,-1.75372,-1.84075,0.123879,0.00264205,0.0116813,-2.39628
9.51049,-28.1688,-22.3982,2.03758,-1.83968,-1.94839,0.0983988,0.00996301,0.0122329,-2.39046
9.61049,-28.3512,-22.5913,2.05009,-1.89344,-2.08002,0.0786085,0.00829566,0.0129666,-2.36138
9.72046,-28.4908,-22.7342,2.0714,-1.93607,-2.24086,0.0796866,0.00620145,0.0151116,-2.33749
9.82052,-28.4177,-22.7173,2.06687,-1.89739,-2.3642,0.0388348,0.00325043,0.0162331,-2.31084
9.92043,-28.5778,-22.9248,2.07273,-1.9028,-2.50914,0.0127303,0.00207037,0.0188244,-2.27323
10.0304,-28.7907,-23.2107,2.0733,-1.90253,-2.67377,-0.01477,0.00268798,0.0193286,-2.23071
10.1304,-28.9886,-23.4873,2.07461,-1.89706,-2.83048,0.0119858,0.00501522,0.0200686,-2.19555
10.2305,-29.1874,-23.7786,2.0789,-1.86061,-2.99213,0.0451825,0.00664536,0.0230163,-2.16226
10.3306,-29.3725,-24.0865,2.08158,-1.82544,-3.14688,0.0161284,0.00608358,0.0270446,-2.12029
10.4404,-29.5718,-24.4424,2.0832,-1.77627,-3.3224,0.0123125,0.00812715,0.0317595,-2.07092
10.5405,-29.6733,-24.7581,2.07714,-1.67295,-3.5072,0.00371837,-0.00349599,0.0308095,-2.03871
10.6405,-29.8569,-25.1233,2.07589,-1.60883,-3.65131,-0.0273538,0.00375933,0.0351689,-1.99374
10.7504,-30.0426,-25.5451,2.06904,-1.50568,-3.84782,-0.103607,0.0102225,0.033201,-1.94589
10.8505,-30.1964,-25.9487,2.06226,-1.38378,-4.0553,-0.149135,0.0130686,0.0292864,-1.9008
10.9505,-30.3315,-26.3811,2.04333,-1.25365,-4.27405,-0.128932,0.0104658,0.0282695,-1.85334
11.0605,-30.3136,-26.8443,2.02633,-1.03277,-4.54613,-0.156309,-0.000837148,0.0337226,-1.80609
11.1605,-30.4114,-27.3084,2.00653,-0.92165,-4.73603,-0.239682,-0.00118782,0.0336207,-1.75847
11.2705,-30.7583,-27.9853,2.02221,-0.921182,-4.81583,-0.192149,0.0176166,0.00591292,-1.7123
11.3706,-30.7188,-28.4449,2.01184,-0.757277,-5.03564,-0.0729632,0.00646716,0.0104477,-1.69106
11.4705,-30.3731,-28.7088,2.0287,-0.468963,-5.22351,-0.0746405,0.000531796,0.0183215,-1.65663
11.5705,-30.4208,-29.2669,2.03217,-0.264071,-5.3839,-0.11095,0.00649714,0.0167936,-1.61792
11.6805,-30.3848,-29.8928,2.03814,0.0849443,-5.60872,-0.123247,-0.000767025,0.0184252,-1.58127
11.7807,-30.1019,-30.3642,2.05939,0.422346,-5.81722,-0.15012,-0.00404788,0.0237754,-1.54322
11.8805,-30.0745,-31.012,2.04362,0.620593,-5.99123,-0.173064,-0.0107706,0.0231785,-1.51283
11.9905,-29.9244,-31.6583,2.02041,0.837317,-6.18419,-0.184427,-0.0141455,0.0226724,-1.48127
12.0905,-29.2612,-31.7424,1.95111,1.00788,-6.173,-0.164508,0.0134295,0.0234279,-1.47927
12.1905,-29.2539,-32.5536,1.95292,1.2587,-6.36302,-0.163027,0.00619371,0.00271353,-1.46332
12.3007,-28.9318,-33.2192,1.98189,1.5763,-6.59403,-0.162814,-0.0100268,0.00665894,-1.45155
12.4006,-27.8692,-33.1308,2.08207,1.92493,-6.47356,-0.145149,-0.0193338,0.0084729,-1.46132
12.5006,-27.6556,-34.1087,2.15639,2.22671,-7.24802,-0.148216,-0.0585192,0.034034,-1.45699
12.6106,-27.3877,-34.8223,2.19167,2.3691,-7.30112,-0.0443279,-0.0496345,0.0320127,-1.43914
12.7106,-27.0743,-35.4857,2.23865,2.52409,-7.4545,-0.0268853,-0.0529758,0.0470924,-1.43158
12.8108,-26.9086,-36.2926,2.26463,2.62172,-7.53357,-0.0870403,-0.0369588,0.0467898,-1.42141
